Temperature_C,Humidity_pct,Soil_Moisture_pct,Rainfall_24h_mm,Forecast_Rainfall_mm,Crop_Type,Growth_Stage,Solar_Radiation_MJ,Evapotranspiration_mm,Irrigation_Action
28.48,57.85,8.22,0.0,0.0,Wheat,Flowering,17.32,5.35,2
24.03,59.51,29.29,2.87,5.29,Wheat,Vegetative,13.65,3.74,0
29.53,60.96,36.19,0.0,4.75,Corn,Fruiting,15.62,4.75,1
35.66,74.2,50.5,3.77,0.0,Soybean,Vegetative,17.3,4.83,0
23.36,48.79,69.06,0.0,0.0,Tomato,Seedling,8.81,2.67,1
23.36,47.3,62.16,0.0,0.0,Rice,Fruiting,9.59,2.95,0
36.05,78.55,24.6,0.6,0.0,Corn,Flowering,11.83,3.03,1
30.37,53.06,38.49,2.92,2.71,Rice,Flowering,18.37,6.24,2
21.71,41.05,49.38,0.0,0.0,Wheat,Flowering,19.71,6.15,0
28.8,52.72,41.4,0.0,0.0,Soybean,Fruiting,23.57,7.77,1
21.76,55.05,45.25,0.0,1.0,Corn,Seedling,12.97,3.54,0
21.74,83.32,21.84,0.0,0.0,Rice,Fruiting,12.22,2.03,2
26.69,73.87,28.87,1.3,0.0,Wheat,Fruiting,15.59,3.65,1
11.61,77.21,52.08,0.0,0.93,Corn,Fruiting,9.47,1.37,0
12.93,72.3,13.5,0.0,5.06,Rice,Vegetative,19.78,3.29,2
21.06,74.19,67.62,0.0,0.99,Soybean,Fruiting,10.2,2.07,0
17.91,49.68,24.03,0.0,0.0,Corn,Vegetative,9.32,2.43,2
27.2,57.02,62.04,0.0,0.0,Wheat,Seedling,8.08,2.45,0
18.64,45.15,62.19,0.0,0.31,Corn,Flowering,11.63,3.23,0
15.11,56.84,43.44,0.0,0.35,Corn,Flowering,13.38,2.98,0
35.26,70.26,66.93,0.0,0.0,Soybean,Fruiting,11.14,3.31,0
23.42,62.02,66.06,0.0,0.31,Corn,Fruiting,9.72,2.54,0
25.47,79.67,47.52,0.0,0.0,Wheat,Seedling,22.43,4.5,0
15.03,42.88,43.13,0.0,0.0,Corn,Fruiting,13.41,3.42,0
21.19,67.5,75.35,0.0,0.8,Tomato,Seedling,16.63,3.8,0
25.78,41.28,50.51,0.25,0.0,Rice,Vegetative,17.29,5.94,1
